time_steps,win_rate,episode_rewards
0,0.0,0.0
5467,0.40625,12.606164383561644
10349,0.875,18.5
15491,0.75,16.98972602739726
20027,0.625,15.551369863013697
25377,0.8125,17.688356164383563
30027,0.6875,16.25
35523,0.6875,16.17808219178082
40284,0.28125,11.36130136986301
45098,0.78125,17.375
50650,0.4375,13.001712328767123
55393,0.71875,16.583904109589042
60215,0.8125,17.71917808219178
65000,0.75,16.91780821917808
70575,0.65625,15.659246575342465
75428,0.75,17.0
80189,0.5,13.952054794520548
85710,0.40625,12.633561643835614
90309,0.59375,15.059931506849313
95759,0.34375,11.929794520547944
100474,0.4375,13.090753424657533
105067,0.5625,14.684931506849315
110478,0.4375,13.077054794520546
115019,0.53125,14.289383561643834
120346,0.875,18.5
125039,0.78125,17.36472602739726
130536,0.84375,18.063356164383563
135002,0.9375,19.26027397260274
140370,0.9375,19.25
145697,0.875,18.48972602739726
150112,0.84375,18.053082191780824
155225,0.9375,19.25
160295,0.9375,19.25
165371,0.9375,19.27054794520548
170504,0.84375,18.176369863013697
175719,0.875,18.51027397260274
180115,0.9375,19.23972602739726
185231,0.90625,18.86472602739726
190307,0.90625,18.86472602739726
195398,0.96875,19.625
200459,0.90625,18.86472602739726
205537,0.96875,19.61472602739726
210526,0.875,18.5
215532,0.875,18.48972602739726
220557,0.9375,19.26027397260274
225563,0.96875,19.60445205479452
230624,0.875,18.46917808219178
235164,0.9375,19.22945205479452
240324,0.90625,18.875
245446,1.0,20.0
250591,0.84375,18.125
255748,0.96875,19.625
260141,0.84375,18.14554794520548
265306,0.96875,19.583904109589042
270463,1.0,20.0
275608,1.0,20.0
280057,0.9375,19.23972602739726
285197,0.96875,19.61472602739726
290412,1.0,20.0
295523,0.875,18.46917808219178
300660,1.0,20.0
