time_steps,win_rate,episode_rewards
0,0.0,0.8321917808219175
10250,0.90625,18.89554794520548
20623,0.90625,18.84417808219178
30566,0.5,13.811643835616438
40612,0.59375,15.070205479452055
50566,0.5,13.914383561643833
60554,0.53125,14.261986301369861
70549,0.375,12.116438356164382
80494,0.65625,15.782534246575342
90417,0.59375,15.06335616438356
100589,0.46875,13.428082191780822
110664,0.71875,16.65582191780822
120469,0.96875,19.63527397260274
130425,0.96875,19.63527397260274
140260,1.0,20.0
150282,0.96875,19.625
160398,1.0,20.0
170275,1.0,20.0
180083,0.96875,19.613013698630137
190484,1.0,20.0
200340,0.96875,19.63527397260274
