training_steps,loss
0,-0.26308465997378033
15,-0.47125399907430016
30,-0.4815507471561432
45,-0.42884585857391355
60,-0.32850833535194396
75,-0.14944374561309814
90,0.5760589400927226
105,0.4627105474472046
120,0.44335982799530027
135,2.7574967702229816
150,0.5276593844095866
165,6.074762535095215
180,0.29736664295196535
195,6.949528948465983
210,8.59259090423584
225,14.753558031717937
240,8.25139077504476
255,17.717074584960937
270,5.402594884236653
285,19.069681930541993
300,5.3058671951293945
315,10.1822878519694
330,14.586695035298666
345,16.114467811584472
360,14.821025149027507
375,20.235221735636394
390,20.609866841634116
405,13.228157552083333
420,13.835462379455567
435,10.039616711934407
450,12.601131820678711
465,13.78412488301595
480,13.4761381149292
495,13.407805379231771
510,11.936477279663086
525,16.595010630289714
540,14.024723116556803
555,11.976404444376628
570,10.076403490702312
585,11.913027699788412
600,10.024445406595866
615,12.328181902567545
630,10.818967946370442
645,10.409257507324218
660,10.97641264597575
675,9.368277422587077
690,12.114409001668294
705,12.688574600219727
720,10.498893928527831
735,10.425485483805339
750,11.468954722086588
765,10.585989252726238
780,10.894385464986165
795,9.95599168141683
810,9.833277193705241
825,12.717074712117514
840,9.957095845540364
855,10.443091519673665
870,10.720498657226562
885,8.821484120686849
900,12.04832649230957
915,9.778047879536947
930,10.14950606028239
945,9.667845408121744
960,10.385702832539875
975,10.093736394246418
990,9.705398813883464
1005,8.890854899088541
1020,9.553882853190105
1035,9.904950141906738
1050,8.657312202453614
1065,11.756955846150715
1080,11.060192171732584
1095,9.711997159322102
1110,10.66618169148763
1125,11.47282034556071
1140,9.559006754557291
1155,9.250024795532227
1170,10.616198094685872
1185,10.02214953104655
1200,12.241851488749186
1215,9.525667826334635
1230,10.231547673543295
1245,10.63925978342692
1260,12.157620048522949
1275,10.115111033121744
1290,9.694450441996256
1305,10.094003486633301
1320,10.99947198232015
1335,10.453736941019693
1350,9.29165891011556
1365,9.111854680379231
1380,9.521622276306152
1395,11.106211916605632
1410,8.43792470296224
1425,8.883110809326173
1440,10.119281641642253
1455,8.995430692036946
1470,9.025333023071289
1485,9.996623357137045
1500,10.042226092020671
1515,8.805789120992024
1530,9.940473365783692
1545,11.464394124348958
1560,11.709336598714193
1575,9.392378425598144
1590,9.070608774820963
1605,9.894955380757649
1620,10.847694142659504
1635,10.41304817199707
1650,9.5556209564209
1665,8.80409933725993
1680,7.5481215159098305
1695,8.369909350077311
1710,8.687682978312175
1725,7.867455609639486
1740,10.015811030069987
1755,10.43809134165446
1770,9.158934084574382
1785,8.341557693481445
1800,10.856982676188151
1815,10.769683329264323
1830,7.50536003112793
1845,7.4953021049499515
1860,12.032767486572265
1875,8.45786616007487
1890,8.188703854878744
1905,8.91988836924235
1920,9.258615620930989
1935,8.885973230997722
1950,8.69309590657552
1965,11.017636553446453
1980,8.776544507344564
1995,10.269598388671875
2010,9.894207700093586
2025,12.233967971801757
2040,10.5751283009847
2055,9.607961400349934
2070,10.97958164215088
2085,7.326830355326335
2100,8.620213254292805
2115,9.658107503255208
2130,7.740493583679199
2145,7.62352507909139
2160,8.354822603861491
2175,7.577865473429362
2190,8.897201919555664
2205,7.453328768412272
2220,8.537061564127605
2235,10.849414698282878
2250,7.867814032236735
2265,6.867208735148112
2280,11.011324310302735
2295,9.434867795308431
2310,7.982378196716309
2325,9.433021100362142
2340,7.438510163625081
2355,8.17661813100179
2370,8.480743408203125
2385,7.0531387011210125
2400,9.850087801615397
2415,9.125743293762207
2430,8.174101384480794
2445,7.068959045410156
2460,9.06739584604899
2475,8.60164597829183
2490,7.795940399169922
2505,8.413100369771321
2520,7.059086577097575
2535,6.355133406321207
2550,6.500563462575276
2565,6.5634970982869465
2580,6.259860706329346
2595,5.867912006378174
2610,4.450474103291829
2625,6.832130082448324
2640,6.509586238861084
2655,7.827854410807292
2670,6.531234264373779
2685,6.109991518656413
2700,9.760697555541991
2715,6.434329541524251
2730,7.512831115722657
2745,6.4547090848286945
2760,3.824108378092448
2775,8.210693486531575
2790,6.712472756703694
2805,5.18996114730835
2820,3.4329410711924235
2835,1.0963526407877604
2850,6.121334139506022
2865,6.70637477238973
2880,7.206995105743408
2895,3.5141809463500975
2910,6.347506046295166
2925,4.763886896769206
2940,5.590345573425293
2955,1.4046991427739461
2970,7.111857318878174
2985,6.411562569936117
3000,0.06992899576822917
3015,10.490302022298177
3030,3.754279041290283
3045,8.0845427831014
3060,10.41862284342448
3075,1.4442565759023032
3090,2.584027338027954
3105,4.8208822250366214
3120,9.66210028330485
3135,3.2475048383076985
3150,3.723064422607422
3165,4.241470750172933
3180,5.1722746849060055
3195,4.114316304524739
3210,2.8129903157552083
3225,1.9712510744730631
3240,2.925026845932007
3255,4.930559094746908
3270,0.5450740655263265
3285,2.0369311332702638
3300,2.7299755414326987
3315,3.327926254272461
3330,5.660122426350911
3345,2.016425037384033
3360,6.013770834604899
3375,2.637298091252645
3390,7.817023626963297
3405,2.51125332514445
3420,4.574281183878581
3435,4.553284327189128
3450,4.2395989735921225
3465,5.7334239959716795
3480,8.446189244588217
3495,4.0879082679748535
3510,0.9761637091636658
3525,1.4388306220372518
3540,2.0294894059499105
3555,2.6233503182729083
3570,4.8640399932861325
3585,4.617858155568441
3600,4.64408171971639
3615,3.3811014811197917
3630,3.111925745010376
3645,5.789072450002035
3660,2.915591065088908
3675,0.6704026977221171
3690,1.0639921267827352
3705,1.207212217648824
3720,1.9905771732330322
3735,7.382664585113526
3750,3.6910499413808187
3765,3.9682440439860027
3780,3.3499197800954184
3795,7.710410213470459
3810,5.5526754061381025
3825,4.361784903208415
3840,1.6997331460316976
3855,1.1117671410242715
3870,3.844297154744466
3885,4.239400386810303
3900,3.085496012369792
3915,1.136353349685669
3930,2.1462202866872153
3945,2.8839139302571613
3960,5.022768974304199
3975,3.7942155838012694
3990,0.6364905158678691
4005,2.9386166890462238
4020,1.4247467438379924
4035,3.4844212690989176
4050,3.2767269134521486
4065,3.8717516740163167
4080,3.9550830523173013
4095,2.3942007064819335
4110,3.077392578125
4125,0.9195587793986003
4140,1.3186562776565551
4155,2.087900241216024
4170,1.4649402856826783
4185,2.5443534374237062
4200,0.7033502141634623
4215,4.4748634974161785
4230,2.8968178431193032
4245,0.12205783128738404
4260,10.986547533671061
4275,2.6811023553212485
4290,6.317216618855794
4305,3.9838571071624758
4320,1.1430547952651977
4335,4.462177435557048
4350,7.361772696177165
4365,2.487869135538737
4380,1.9356487194697063
4395,0.08819866180419922
