time_steps,win_rate,episode_rewards
0,0.0,0.0
10645,0.65625,15.792808219178083
20093,0.59375,15.042808219178083
30681,0.84375,18.09417808219178
40746,0.75,16.98972602739726
50132,0.8125,17.73972602739726
60725,0.6875,16.238013698630137
70579,0.78125,17.40582191780822
80301,0.71875,16.563356164383563
90146,0.78125,17.38527397260274
100634,0.78125,17.34417808219178
110456,0.84375,18.11472602739726
120490,0.78125,17.352739726027398
130664,0.8125,17.708904109589042
140754,0.78125,17.364726027397257
150129,0.8125,17.801369863013697
160323,0.71875,16.65582191780822
170404,0.8125,17.71917808219178
180535,0.75,16.96917808219178
190739,0.75,17.041095890410958
200008,0.6875,16.291095890410958
