training_steps,agent_0,agent_1,agent_2
0,0.007574083,0.008092099,0.008306428
15,0.009441841,0.009559822,0.009936698
30,0.021522488,0.021808425,0.024534406
45,0.013497671,0.014490563,0.014334836
60,0.013822412,0.014459354,0.014412312
75,0.019776395,0.02042495,0.020072637
90,0.017709455,0.01869007,0.019194094
105,0.019752027,0.02039264,0.020357642
120,0.022973303,0.02399449,0.023551645
135,0.05669165,0.05905663,0.05798183
150,0.06825413,0.076533936,0.078020185
165,0.030543523,0.031004498,0.030803584
180,0.078313984,0.07994581,0.07962708
195,0.07621737,0.0761216,0.07673257
210,0.10374135,0.1023333,0.10202223
225,0.08211391,0.08213535,0.08194558
240,0.03799329,0.0377029,0.03831638
255,0.10454627,0.103938825,0.1056661
270,0.09772497,0.09758935,0.098733865
285,0.115209565,0.11532593,0.11725075
300,0.15349533,0.15207857,0.1535205
315,0.11857925,0.11425677,0.11578145
330,0.119350865,0.11874932,0.1208984
345,0.11662703,0.11490995,0.116446294
360,0.117384754,0.11477878,0.11667918
375,0.11751397,0.11533997,0.116632394
390,0.12061304,0.118756734,0.120278314
405,0.13905928,0.13704471,0.1381615
420,0.13335732,0.12920636,0.13127199
435,0.14727293,0.1427155,0.1452974
450,0.149001,0.14709559,0.14905183
465,0.116497934,0.114071414,0.1140654
480,0.15646961,0.1564008,0.15655234
495,0.16269663,0.16064176,0.16376215
510,0.11994099,0.11825396,0.118798
525,0.12321678,0.12407089,0.1269133
540,0.14305522,0.14371596,0.14484617
555,0.1336528,0.13147311,0.13441749
570,0.12881194,0.13188311,0.13276604
585,0.14488144,0.14338325,0.14550683
600,0.24757311,0.016346987,0.19542605
615,0.07361936,0.14873318,0.1930014
630,0.1405551,0.1398501,0.15209591
645,0.15776569,0.17318916,0.1787287
660,0.1947025,0.11668144,0.14527276
675,0.16451271,0.16353191,0.17161298
690,0.15871973,0.15655677,0.16456223
705,0.1609706,0.1579378,0.16362591
720,0.16745168,0.1679253,0.1710978
735,0.1592709,0.15959613,0.16290495
750,0.15709248,0.15415299,0.16014205
765,0.1593792,0.1559304,0.1607749
780,0.16480534,0.16400547,0.16754358
795,0.15172273,0.15022317,0.15364403
810,0.16147718,0.158506,0.16460589
825,0.14428802,0.14482273,0.14821807
840,0.16586864,0.1691387,0.17184204
855,0.1369495,0.13833268,0.13979706
870,0.1997089,0.20595966,0.20922875
885,0.16453268,0.16415799,0.16567525
900,0.14094652,0.13752566,0.14055125
915,0.177526,0.17927927,0.183464
930,0.18992709,0.19071656,0.19509843
945,0.17126383,0.16616403,0.17118903
960,0.18205768,0.18432452,0.1863576
975,0.18101512,0.18185027,0.18187612
990,0.16434413,0.16403462,0.16692618
1005,0.17195159,0.17545772,0.17582135
1020,0.18154041,0.18735051,0.18885592
1035,0.18826717,0.19062486,0.19396481
1050,0.18627982,0.185498,0.18714993
1065,0.14908347,0.15522903,0.15635921
1080,0.16726005,0.17033243,0.17378624
1095,0.17421822,0.17811032,0.17926669
1110,0.16158701,0.1609257,0.16467246
1125,0.1668365,0.16996557,0.17325097
1140,0.17558667,0.17696859,0.17870855
1155,0.16928802,0.17421228,0.17666098
1170,0.19713324,0.19996418,0.20067103
1185,0.17511357,0.17763579,0.17677356
1200,0.1945253,0.19900179,0.20390996
1215,0.18064262,0.17865328,0.1833518
1230,0.18452711,0.1848279,0.18770422
1245,0.17492291,0.17232382,0.17656016
1260,0.18713468,0.18875633,0.19332018
1275,0.17646125,0.17646259,0.17894758
1290,0.16028447,0.15845072,0.16314727
1305,0.15162434,0.14920957,0.15420364
1320,0.20480183,0.20945899,0.21353605
1335,0.17656386,0.17323041,0.1811934
1350,0.19240035,0.19673316,0.1956563
1365,0.18534343,0.18781462,0.18974155
1380,0.19148721,0.1919973,0.1970521
1395,0.18817079,0.1915205,0.19599369
1410,0.1522915,0.15272515,0.15645601
1425,0.16931398,0.17319457,0.1775975
1440,0.17116532,0.17511852,0.17652881
1455,0.17749636,0.1830311,0.18515307
1470,0.18395174,0.18662603,0.18891187
1485,0.15603949,0.1563547,0.16169995
1500,0.19642253,0.19702607,0.20266277
1515,0.19800901,0.1983658,0.2053376
1530,0.18568186,0.18928015,0.19208641
1545,0.18823543,0.19303969,0.19652174
1560,0.18898247,0.19679493,0.19757438
1575,0.19481991,0.19461216,0.20080772
1590,0.18054318,0.182321,0.18388247
1605,0.19409429,0.19524784,0.1995278
1620,0.18965213,0.19162697,0.19646068
1635,0.17570873,0.1789198,0.18075967
1650,0.18980397,0.19543317,0.19640231
1665,0.1658738,0.16698726,0.17323914
1680,0.19129445,0.19840242,0.20265481
1695,0.17211728,0.17271484,0.1780358
1710,0.18298987,0.18647687,0.1903543
1725,0.20014118,0.20449919,0.21196929
1740,0.20100474,0.20434326,0.20825432
1755,0.19303265,0.1947845,0.20236555
1770,0.19787148,0.20087653,0.20467675
1785,0.19145527,0.20258607,0.20267761
1800,0.1975756,0.2021241,0.20917131
1815,0.19522913,0.20238034,0.20650016
1830,0.19614078,0.20165513,0.20637085
1845,0.22573529,0.2324236,0.24236712
1860,0.19135165,0.19479676,0.1981976
1875,0.22854505,0.23922592,0.24512862
1890,0.19599517,0.19496179,0.20443636
1905,0.19287947,0.20542356,0.20990516
1920,0.22449723,0.22929753,0.23586044
1935,0.19602118,0.20258163,0.21026817
1950,0.19988889,0.20556387,0.21224138
1965,0.2051294,0.2159251,0.22061226
1980,0.187263,0.19182283,0.1990392
1995,0.21389072,0.22285505,0.22633882
2010,0.19771476,0.20768428,0.21590012
2025,0.19917578,0.20858161,0.21354176
2040,0.21729578,0.21793899,0.22547959
2055,0.1883778,0.19509569,0.20153539
2070,0.1877489,0.19323319,0.20397155
2085,0.1986792,0.21140769,0.21519858
2100,0.1966693,0.20086262,0.20589283
2115,0.19182058,0.20465034,0.20701088
2130,0.19344234,0.1977477,0.20492133
2145,0.20750773,0.21875277,0.22495589
2160,0.1979127,0.2067585,0.21695942
2175,0.18848214,0.19365358,0.19771595
2190,0.19321267,0.20529833,0.21069136
2205,0.19798645,0.2057017,0.2136635
2220,0.19760984,0.20856565,0.21728933
2235,0.19329943,0.203373,0.21148047
2250,0.18842071,0.19785707,0.20396201
2265,0.21487777,0.22739074,0.23445569
2280,0.20873246,0.22180197,0.23101497
2295,0.19789833,0.20908767,0.21801402
2310,0.20031075,0.2128378,0.21991602
2325,0.19854085,0.20678541,0.21525486
2340,0.19085877,0.198164,0.20769621
2355,0.21042019,0.22352058,0.23272598
2370,0.199788,0.20868404,0.22000973
2385,0.19217752,0.2083129,0.20871197
2400,0.19246155,0.20186974,0.20983541
2415,0.20634474,0.21847732,0.2290022
2430,0.19452761,0.2050112,0.20894554
2445,0.1910187,0.20354901,0.20925656
2460,0.19977283,0.21012828,0.21926562
2475,0.21717359,0.23225765,0.24022396
2490,0.19705409,0.2082088,0.21603629
2505,0.21122304,0.22870666,0.23714876
2520,0.20749857,0.21676895,0.22921431
2535,0.20901589,0.22427975,0.22972992
2550,0.17275663,0.18536736,0.19059454
2565,0.21253286,0.22730805,0.236529
2580,0.1952604,0.20973864,0.21630011
2595,0.19200018,0.20373917,0.21340783
2610,0.20822069,0.22332017,0.2304809
2625,0.20446494,0.22155549,0.2284888
2640,0.20727605,0.21974342,0.22748972
2655,0.20941846,0.22620483,0.22816983
2670,0.21157089,0.22722821,0.23751172
2685,0.20831826,0.22381942,0.23200974
2700,0.20691209,0.22562303,0.23125802
2715,0.19144043,0.20410645,0.21332411
2730,0.21305457,0.22669145,0.2339331
2745,0.20619254,0.22404762,0.23355299
2760,0.2074924,0.21864907,0.22802524
2775,0.20658652,0.21831363,0.22525339
2790,0.204351,0.22181797,0.22398458
2805,0.20232154,0.21647297,0.2221873
2820,0.19591238,0.21065123,0.21407273
2835,0.19503827,0.2075768,0.21439415
2850,0.20830855,0.22697522,0.23138297
2865,0.19244261,0.21143937,0.21708575
2880,0.21861237,0.23128219,0.23760553
2895,0.20194906,0.22278953,0.22977063
2910,0.22277181,0.24225612,0.24925786
2925,0.19818462,0.21844439,0.22463818
2940,0.2020086,0.21814379,0.22484523
2955,0.22685777,0.24684344,0.25270674
2970,0.19412842,0.21598795,0.22327958
2985,0.20494196,0.22206555,0.22681676
3000,0.2192053,0.24158853,0.25349194
3015,0.20643452,0.22123544,0.22581184
3030,0.19016653,0.20785664,0.21151064
3045,0.20338103,0.2244585,0.22632723
3060,0.21226493,0.22990184,0.23230736
3075,0.20413159,0.22321817,0.22613208
3090,0.20797776,0.22749187,0.2311971
3105,0.20417216,0.22199515,0.22759989
3120,0.20315164,0.2216981,0.22828957
3135,0.19057722,0.21013251,0.21550037
3150,0.20241165,0.22320126,0.2288963
3165,0.20418447,0.22698744,0.23549484
3180,0.19596794,0.21530256,0.22212546
3195,0.2095286,0.22902206,0.23817351
3210,0.19690178,0.21856497,0.22540091
3225,0.20021154,0.21916778,0.22578199
3240,0.18776311,0.20601739,0.21503524
3255,0.21099097,0.23504624,0.24361803
3270,0.19898397,0.21799038,0.22463533
3285,0.19256914,0.21169676,0.21736473
3300,0.1935853,0.21107966,0.22033508
3315,0.18506564,0.20395152,0.21318749
3330,0.2061986,0.22712724,0.23334087
3345,0.18000509,0.19868581,0.20587605
3360,0.21549028,0.24069221,0.24507734
3375,0.21926166,0.24457496,0.25044915
3390,0.19612192,0.21511483,0.22215922
3405,0.18842135,0.21025693,0.21013744
3420,0.19570166,0.21646859,0.21625447
3435,0.20413461,0.22270617,0.22766842
3450,0.21121243,0.2350009,0.24128675
3465,0.2038044,0.22918785,0.23150945
3480,0.20238915,0.22311811,0.22831702
3495,0.18734406,0.20773847,0.21411985
3510,0.19972396,0.21992986,0.22550753
3525,0.20969504,0.23796655,0.24199362
3540,0.2132017,0.23531003,0.23898831
3555,0.2067952,0.23256262,0.23695305
3570,0.20623164,0.23197077,0.23852175
3585,0.19910242,0.22416714,0.2308972
3600,0.20980395,0.23193099,0.23463498
3615,0.200872,0.22844031,0.23735441
3630,0.1962653,0.21965134,0.22643504
3645,0.20022301,0.22389433,0.22970693
3660,0.2073928,0.23304543,0.23593166
3675,0.20318979,0.22893488,0.23454203
3690,0.20691428,0.2332149,0.2362407
3705,0.19109052,0.21772753,0.21994914
3720,0.20488642,0.22899966,0.24248384
3735,0.20494547,0.23440446,0.23737422
3750,0.1999923,0.22380793,0.23070896
3765,0.20037799,0.22454473,0.229244
3780,0.19173275,0.21856315,0.22310007
3795,0.19587964,0.21943687,0.22669269
3810,0.18969692,0.21158604,0.22034764
3825,0.20070657,0.23101385,0.23494631
3840,0.1901792,0.20760849,0.21581465
3855,0.20717695,0.2329704,0.2361635
3870,0.19279292,0.21653949,0.22406353
3885,0.20675115,0.23140225,0.23857073
