time_steps,win_rate,episode_rewards
0,0.0,0.0
10349,0.3125,11.638698630136986
20592,1.0,20.0
30103,0.625,15.469178082191782
40664,0.6875,16.18835616438356
50282,0.78125,17.333904109589042
60044,0.75,17.0
70678,0.71875,16.563356164383563
80555,0.9375,19.26027397260274
90276,0.625,15.48972602739726
100231,0.625,15.448630136986301
110216,0.71875,16.63527397260274
120365,0.75,17.01027397260274
130441,0.84375,18.083904109589042
140383,0.75,16.917808219178085
150364,0.625,15.438356164383562
160498,0.78125,17.323630136986303
170574,0.6875,16.20890410958904
180671,0.75,16.938356164383563
190831,0.6875,16.208904109589042
200117,0.75,16.876712328767123
