time_steps,win_rate,episode_rewards
0,0.0,3.0239726027397253
10482,0.5,13.830479452054792
20592,0.5625,14.75
30674,0.3125,11.592465753424658
40090,0.78125,17.424657534246574
50315,0.53125,14.25
60009,0.78125,17.333904109589042
70568,0.84375,18.125
80248,0.6875,16.238013698630137
90699,0.78125,17.375
100176,0.9375,19.27054794520548
110629,1.0,20.0
120164,0.90625,18.88527397260274
130210,1.0,20.0
140150,0.96875,19.63527397260274
150047,0.875,18.508561643835616
160746,0.9375,19.27054794520548
170548,1.0,20.0
180539,1.0,20.0
190563,0.9375,19.22945205479452
200526,1.0,20.0
