time_steps,win_rate,episode_rewards
0,0.0,1.5941780821917815
5005,0.0,0.0
10628,0.8125,17.727739726027398
15536,0.78125,17.375
20562,0.78125,17.323630136986303
25696,0.71875,16.5736301369863
30257,0.875,18.46917808219178
35581,0.71875,16.676369863013697
40114,0.71875,16.5736301369863
45494,0.8125,17.708904109589042
50196,0.78125,17.35445205479452
55006,0.75,16.97945205479452
60396,0.84375,18.071917808219176
65718,0.625,15.38527397260274
70285,0.8125,17.73972602739726
75495,0.75,16.85445205479452
80080,0.71875,16.592465753424655
85535,0.8125,17.71917808219178
90174,0.71875,16.686643835616437
95695,0.78125,17.40582191780822
100286,0.71875,16.643835616438356
105003,0.75,17.03082191780822
110395,0.8125,17.75
115020,0.6875,16.227739726027394
120443,0.84375,18.125
125236,0.71875,16.61472602739726
130738,0.8125,17.708904109589042
135465,0.8125,17.72945205479452
140216,0.84375,18.094178082191778
145588,0.78125,17.38527397260274
150114,0.625,15.51027397260274
155443,0.84375,18.125
160742,0.8125,17.75
165149,1.0,20.0
170247,1.0,20.0
175315,0.96875,19.625
180439,0.96875,19.613013698630137
185607,0.9375,19.27054794520548
190623,0.90625,18.863013698630137
195669,0.96875,19.63527397260274
200692,0.9375,19.26027397260274
205043,0.96875,19.63527397260274
210125,0.96875,19.613013698630137
215162,0.96875,19.60445205479452
220175,1.0,20.0
225148,0.8125,17.758561643835616
230186,1.0,20.0
235180,1.0,20.0
240184,0.96875,19.61472602739726
245215,1.0,20.0
250215,0.96875,19.63527397260274
255257,0.96875,19.625
260329,0.9375,19.25
265324,0.9375,19.248287671232877
270348,0.9375,19.227739726027398
275372,0.9375,19.25
280346,0.90625,18.88527397260274
285389,0.9375,19.26027397260274
290360,0.875,18.518835616438356
295355,1.0,20.0
300340,0.9375,19.27054794520548
