training_steps,agent_0,agent_1,agent_2
0,0.013873562,0.01645786,0.016635315
15,0.010364523,0.010173996,0.010283402
30,0.016479656,0.007995325,0.014818436
45,0.0086659305,0.008754134,0.02706936
60,0.028350472,0.02743215,0.03264693
75,0.018764632,0.021906834,0.026109356
90,0.015081378,0.015949756,0.019368412
105,0.01184914,0.009996377,0.024786897
120,0.016343942,0.01645648,0.02387767
135,0.0212263,0.038362052,0.036578245
150,0.017721573,0.021342816,0.023264386
165,0.02022347,0.022827005,0.026584234
180,0.052007627,0.05757818,0.062355634
195,0.050407097,0.05851566,0.06408832
210,0.05403351,0.06571409,0.08158276
225,0.0492868,0.0650599,0.07425402
240,0.056995217,0.0666269,0.07082994
255,0.057415366,0.06676962,0.08460103
270,0.08323661,0.09612811,0.09362941
285,0.07694414,0.0810318,0.07974254
300,0.08353232,0.08699513,0.08546573
315,0.085013516,0.08599532,0.08561955
330,0.05322811,0.05207667,0.05088815
345,0.094977565,0.09246989,0.09195738
360,0.091035515,0.09099544,0.090628915
375,0.13494846,0.13449024,0.13326436
390,0.11597707,0.11551295,0.11423468
405,0.14240724,0.14041288,0.14030226
420,0.13900371,0.13634402,0.13472551
435,0.12283974,0.121857226,0.121374495
450,0.14044969,0.13991755,0.137441
465,0.13079582,0.12852803,0.12699962
480,0.13475305,0.1356375,0.13554949
495,0.15475117,0.15576814,0.15397845
510,0.14975914,0.14950404,0.14824513
525,0.17729546,0.1779591,0.17674829
540,0.14663228,0.14679202,0.1447607
555,0.1431267,0.14012858,0.14228795
570,0.1352607,0.13138251,0.13327417
585,0.13957268,0.13613525,0.13793367
600,0.17613615,0.1747525,0.17497979
615,0.13452975,0.13131188,0.13375886
630,0.17456575,0.17228357,0.17289959
645,0.14669536,0.14154805,0.14406256
660,0.14865614,0.14656942,0.14874
675,0.18039282,0.17744565,0.17754975
690,0.17610765,0.17558905,0.1769996
705,0.13577102,0.13169935,0.13349998
720,0.19565472,0.195125,0.19887298
735,0.17071249,0.1651154,0.16594355
750,0.15506099,0.14900796,0.1526257
765,0.17602035,0.17160478,0.17526305
780,0.18870576,0.18627772,0.18785906
795,0.17635772,0.17132178,0.17319989
810,0.17072172,0.16707616,0.17092948
825,0.17177646,0.16807355,0.17099479
840,0.16860017,0.16331542,0.16867489
855,0.1704854,0.16229077,0.17224275
870,0.16333987,0.16045989,0.16335784
885,0.18036228,0.17660846,0.18189918
900,0.15937963,0.15363903,0.15952705
915,0.1980613,0.1962129,0.20238383
930,0.17998338,0.17114307,0.17804028
945,0.18482718,0.17925568,0.1876866
960,0.18878324,0.18390025,0.19055857
975,0.16237313,0.15176624,0.15909126
990,0.16366772,0.15767738,0.16725907
1005,0.17768273,0.17158592,0.17750083
1020,0.1721131,0.159472,0.16938525
1035,0.18070461,0.1748191,0.18294664
1050,0.19335118,0.18604125,0.19205303
1065,0.16768113,0.16175894,0.16851617
1080,0.20611264,0.20228764,0.21103472
1095,0.1683853,0.16398594,0.17036855
1110,0.16902167,0.16970114,0.17206493
1125,0.17876391,0.17188863,0.17919911
1140,0.18745504,0.1836766,0.19028395
1155,0.18452105,0.17810695,0.18805699
1170,0.1909275,0.17232522,0.19776331
1185,0.17144528,0.16390292,0.19210617
1200,0.1597316,0.19319697,0.19530208
1215,0.15493119,0.178306,0.1934752
1230,0.12487424,0.1870266,0.20442343
1245,0.16586621,0.19503666,0.19183694
1260,0.18656312,0.20512967,0.17579664
1275,0.054407068,0.2628861,0.26255855
1290,0.19357073,0.17533132,0.2000635
1305,0.16673121,0.18244077,0.20248333
1320,0.1783772,0.18535022,0.20088452
1335,0.20214793,0.18094234,0.20617922
1350,0.17440695,0.17146224,0.19094595
1365,0.18105629,0.22461876,0.15745284
1380,0.18821825,0.19757421,0.19817075
1395,0.16868058,0.17540795,0.17905554
1410,0.18625288,0.1896462,0.19371596
1425,0.17339955,0.1721626,0.17829636
1440,0.16894642,0.17332566,0.17918916
1455,0.19458865,0.2004024,0.20689258
1470,0.17259611,0.17235675,0.18096045
1485,0.17374189,0.17842485,0.18636072
1500,0.19037066,0.1931038,0.2009611
1515,0.1921297,0.19439769,0.20445442
1530,0.20721687,0.21491486,0.22182624
1545,0.17426667,0.18206924,0.19100173
1560,0.18686192,0.19017303,0.19933496
1575,0.19001253,0.19140933,0.20265941
