training_steps,agent_0,agent_1,agent_2
0,0.01289447,0.0042538596,0.00782805
15,0.009408028,0.009865265,0.013046913
30,0.011019441,0.01196994,0.012113365
45,0.006086966,0.026960203,0.022097608
60,0.012595809,0.01243866,0.013664163
75,0.014666145,0.014265365,0.019384705
90,0.017600322,0.01721476,0.017468024
105,0.019415578,0.019336835,0.019752158
120,0.022465413,0.023315432,0.023397245
135,0.023104265,0.024574315,0.024781471
150,0.027457127,0.028727902,0.028775021
165,0.08067699,0.082760304,0.08334354
180,0.025076952,0.026875159,0.026729405
195,0.08989821,0.091975346,0.09268953
210,0.068179786,0.07030465,0.07060317
225,0.09410011,0.09619501,0.09725803
240,0.0921125,0.09428558,0.09430576
255,0.09033375,0.09297521,0.09249832
270,0.1062018,0.10773201,0.10844066
285,0.12481404,0.12635225,0.12592657
300,0.12250033,0.12761566,0.12757488
315,0.114029825,0.115748994,0.11587542
330,0.12443161,0.12616652,0.12652753
345,0.15395488,0.15772046,0.15697591
360,0.11788215,0.12106976,0.12177874
375,0.15025301,0.14917903,0.15300329
390,0.13300948,0.13328071,0.13298823
405,0.14252017,0.14344607,0.14137398
420,0.1452937,0.1472424,0.14930592
435,0.14040668,0.14234239,0.14326653
450,0.1721006,0.17631398,0.17775962
465,0.17567962,0.17887679,0.17766078
480,0.10210556,0.10159485,0.10257816
495,0.16128597,0.16938956,0.16883528
510,0.1677406,0.1685917,0.1706394
525,0.12856016,0.12910098,0.13164511
540,0.13224967,0.13146606,0.13443024
555,0.1802499,0.18223093,0.18335257
570,0.15006462,0.15012437,0.15092109
585,0.16896228,0.17172818,0.1728901
600,0.14404543,0.14572042,0.14587423
615,0.16717574,0.17064579,0.1685386
630,0.17279191,0.17659761,0.17747636
645,0.18493909,0.18621622,0.18951827
660,0.1515464,0.15255211,0.15206589
675,0.16039997,0.16284777,0.16259708
690,0.15559083,0.1556112,0.1584898
705,0.1565351,0.15189232,0.15481462
720,0.14733389,0.14909525,0.14859922
735,0.1758394,0.18206514,0.18407705
750,0.14181064,0.14232759,0.14497142
765,0.18200502,0.18485072,0.18852927
780,0.18472877,0.18314551,0.18562125
795,0.17782426,0.18557234,0.18681136
810,0.20676525,0.21121705,0.21252169
825,0.16650718,0.16519713,0.16646926
840,0.17194667,0.1749231,0.17601842
855,0.15718295,0.16128261,0.16297501
870,0.1759066,0.17393288,0.17790031
885,0.15613154,0.15707862,0.15939263
900,0.16664505,0.17079535,0.17431764
915,0.1852363,0.18426807,0.19128336
930,0.17472088,0.17256021,0.17880346
945,0.17396665,0.17373191,0.1842281
960,0.17963791,0.18047312,0.17915845
975,0.17862761,0.17964503,0.17956989
990,0.16275436,0.16572666,0.17009212
1005,0.1747382,0.17482765,0.17680408
1020,0.14650622,0.14842781,0.15069954
1035,0.17188722,0.17374027,0.1788975
1050,0.16570851,0.16580814,0.1671706
1065,0.18696342,0.18699735,0.1909936
1080,0.1800585,0.17731838,0.18257752
1095,0.18547529,0.18943274,0.18896188
1110,0.18532656,0.18686111,0.189285
1125,0.19716279,0.19560301,0.19576164
1140,0.17795615,0.17979991,0.18174173
1155,0.18554895,0.18756987,0.19040865
1170,0.16811678,0.16450433,0.16732185
1185,0.18093412,0.18263945,0.18853837
1200,0.18733811,0.18662536,0.1942345
1215,0.17538272,0.17828089,0.18218121
1230,0.20329738,0.2039069,0.20803551
1245,0.17453733,0.17439426,0.17915066
1260,0.16305128,0.16365218,0.1714701
1275,0.18019676,0.18007419,0.18801679
1290,0.17530361,0.17517047,0.18515342
1305,0.1874003,0.1912109,0.19884318
1320,0.18085726,0.18214421,0.18774061
1335,0.18642321,0.18986395,0.19450882
1350,0.17687151,0.1798745,0.18315132
1365,0.17856702,0.1775961,0.18162234
1380,0.1876492,0.1921718,0.19757633
1395,0.19334067,0.19474979,0.20083652
1410,0.18966848,0.18555002,0.19144425
1425,0.17101504,0.17203127,0.17732453
1440,0.17809112,0.18313032,0.19014849
1455,0.185885,0.18395361,0.19157697
1470,0.17347798,0.1724687,0.18070865
1485,0.18383513,0.18599279,0.19090275
1500,0.18998986,0.18920152,0.1968361
1515,0.19332156,0.19163688,0.2036261
1530,0.18258189,0.18202285,0.19142981
1545,0.18839233,0.18835431,0.19996578
1560,0.1662209,0.16332698,0.16982433
1575,0.20225327,0.20050779,0.20789084
1590,0.18594438,0.19141747,0.20518425
1605,0.18567036,0.18220474,0.19673683
1620,0.19362219,0.2011163,0.20868626
1635,0.1948268,0.19605479,0.20642595
1650,0.20280133,0.20638451,0.2158142
1665,0.17765614,0.17818083,0.18788451
1680,0.16722137,0.1712612,0.17852661
1695,0.18001655,0.18399082,0.18913198
1710,0.18071453,0.18428098,0.19377603
1725,0.17009555,0.17107879,0.18371157
1740,0.17410827,0.17354429,0.1803726
1755,0.18617037,0.18303859,0.19677284
1770,0.18793903,0.19043733,0.1987356
1785,0.17819008,0.17923509,0.187804
1800,0.18760489,0.19030318,0.19880433
1815,0.19443029,0.19286157,0.2043178
1830,0.15087225,0.151556,0.16109923
1845,0.1951426,0.20064259,0.2080391
1860,0.17732279,0.1794191,0.18560976
1875,0.1804775,0.18169214,0.19051309
1890,0.1889673,0.18942712,0.20037277
1905,0.18565693,0.18502851,0.19147213
1920,0.17621773,0.18322657,0.19129777
1935,0.18950441,0.18851233,0.20012262
1950,0.17969169,0.18148458,0.19122103
1965,0.18964088,0.18844219,0.20005625
1980,0.17752215,0.17630145,0.1868157
1995,0.17658037,0.17627569,0.18698417
2010,0.1838141,0.17992157,0.19542255
2025,0.17317358,0.16943341,0.18376292
2040,0.16652101,0.16882582,0.18063498
2055,0.17894523,0.17561866,0.1893072
2070,0.1807137,0.19037682,0.1982293
2085,0.18927781,0.18651749,0.19500068
2100,0.16609089,0.17061359,0.1796198
2115,0.18972486,0.18703373,0.20001088
2130,0.20634297,0.21083318,0.21933785
2145,0.20860529,0.20990738,0.22383901
2160,0.18894269,0.18458551,0.1917116
2175,0.20085113,0.20260441,0.21286872
2190,0.19359641,0.1915717,0.20033027
2205,0.18999512,0.19459838,0.2063883
2220,0.19584341,0.19649981,0.21045364
2235,0.1901739,0.19341679,0.20119914
2250,0.19522676,0.19735175,0.21050374
2265,0.18878664,0.19108067,0.2049225
2280,0.1660009,0.17043582,0.18125738
2295,0.17652139,0.17542039,0.1869852
2310,0.15467289,0.1646314,0.16996518
2325,0.20990802,0.21128418,0.22466162
2340,0.21116686,0.21790582,0.23127474
2355,0.20148325,0.20490015,0.2167862
2370,0.1755709,0.18102469,0.18678345
2385,0.19969258,0.19962727,0.20956069
2400,0.18116784,0.1856853,0.19912867
2415,0.19131374,0.19650006,0.20453788
2430,0.18601902,0.18510316,0.19485961
2445,0.18514064,0.18601964,0.19482152
2460,0.19138782,0.19545299,0.20345603
2475,0.1809834,0.18228912,0.18918188
2490,0.17878735,0.17959857,0.18834409
2505,0.17869873,0.1788331,0.18740207
2520,0.18501614,0.18740404,0.1917922
2535,0.20254244,0.2010853,0.21269654
2550,0.1860756,0.18708557,0.19247812
2565,0.18672009,0.18912208,0.19875836
2580,0.18746242,0.19059779,0.20070699
2595,0.19131795,0.18761186,0.19955198
2610,0.17381822,0.17248787,0.18314601
2625,0.20548181,0.20506102,0.21930882
2640,0.18878613,0.19069603,0.1993421
2655,0.18925366,0.18728463,0.1884161
2670,0.20599297,0.20412447,0.21381979
2685,0.19005232,0.18275467,0.19277526
2700,0.19311972,0.191039,0.20027682
2715,0.1692025,0.16402079,0.1712859
2730,0.17908698,0.17711735,0.18443501
2745,0.19395398,0.19364822,0.20474946
2760,0.18133584,0.17839912,0.19129252
2775,0.19580697,0.193528,0.20288621
2790,0.19962683,0.1992593,0.20630802
2805,0.18814342,0.18590227,0.19187903
2820,0.18502769,0.1780638,0.18890628
2835,0.19309595,0.19069174,0.19400916
2850,0.19241327,0.19202004,0.20306674
2865,0.20368358,0.20590952,0.21540697
2880,0.20198251,0.1990797,0.20412374
2895,0.18583249,0.18818434,0.19601156
2910,0.18503627,0.18591882,0.1882679
2925,0.19146743,0.19113748,0.19484949
2940,0.19762631,0.19610286,0.20872521
2955,0.2002049,0.19873203,0.2105931
2970,0.17739904,0.17472585,0.1809408
2985,0.19047318,0.19225799,0.19637848
3000,0.19462192,0.19000916,0.19487815
3015,0.1846436,0.18222935,0.18763626
3030,0.18710792,0.1865911,0.19125536
3045,0.19638337,0.19493508,0.19920672
3060,0.2040077,0.20707303,0.21143937
3075,0.19287068,0.19020806,0.19711536
3090,0.20284508,0.20516925,0.2079104
3105,0.18189119,0.17727508,0.1828744
3120,0.19864741,0.20217882,0.20299804
3135,0.20688283,0.2040765,0.21221027
3150,0.19191526,0.19590913,0.19802828
3165,0.22194783,0.22405335,0.23036872
3180,0.19827342,0.19822745,0.20555402
3195,0.22046044,0.22412738,0.22805168
3210,0.19124287,0.18850224,0.19873665
3225,0.19576243,0.19733614,0.19991764
3240,0.20271651,0.20879921,0.21448809
3255,0.19643258,0.19800813,0.20829907
3270,0.20928353,0.21698338,0.22142151
3285,0.21458271,0.2213059,0.22784548
3300,0.2408366,0.244943,0.2546051
3315,0.21741706,0.2250946,0.23196247
3330,0.2217716,0.22873072,0.2362639
3345,0.22249036,0.22840795,0.23733564
3360,0.2356981,0.24279405,0.24721818
3375,0.21492898,0.22160792,0.22491132
3390,0.2089992,0.21766664,0.22419629
3405,0.21593788,0.22524288,0.2355434
3420,0.23468769,0.24073313,0.2487626
3435,0.2101814,0.21729782,0.22373712
3450,0.20601742,0.21174459,0.21647239
3465,0.21990322,0.22841068,0.24134131
3480,0.22034308,0.22843319,0.24087894
3495,0.21765396,0.2309962,0.24100506
3510,0.20877843,0.21960957,0.22612123
3525,0.20435509,0.21115099,0.22130312
3540,0.20820802,0.21763512,0.22466469
3555,0.2294332,0.24313027,0.2529371
3570,0.21975727,0.22958109,0.23889555
3585,0.21596423,0.22353403,0.234242
3600,0.20396581,0.21942505,0.22640844
3615,0.21770494,0.22565277,0.23372073
3630,0.20553952,0.21332926,0.22245547
3645,0.20551036,0.21271223,0.22412905
3660,0.22178484,0.23222867,0.24687943
3675,0.19904567,0.21145739,0.2141427
3690,0.20956455,0.2151132,0.22983146
3705,0.24227144,0.25635663,0.27060282
3720,0.19397905,0.20674065,0.21520504
3735,0.20356724,0.21500452,0.21971358
3750,0.21596074,0.2239078,0.2372099
3765,0.2432351,0.25552216,0.2704736
3780,0.2227903,0.23187692,0.24659263
3795,0.21628186,0.23092164,0.24245171
3810,0.22363567,0.23418632,0.24307093
3825,0.1996172,0.20961122,0.21959586
3840,0.23750821,0.25121272,0.266482
3855,0.22324048,0.23064016,0.24554461
3870,0.23292528,0.24872668,0.25952303
3885,0.21750617,0.22424886,0.23532341
3900,0.2414556,0.24862193,0.26393995
3915,0.22859487,0.24586082,0.25032043
3930,0.20820333,0.21693467,0.2257241
3945,0.24050517,0.2564233,0.2723024
3960,0.21390139,0.22753392,0.23528887
3975,0.197724,0.20708802,0.2208375
3990,0.22131796,0.23486581,0.24507609
4005,0.22395638,0.23752226,0.25280714
4020,0.19833903,0.2125456,0.2193095
4035,0.23893984,0.2508108,0.2654523
4050,0.2217069,0.2323261,0.24643184
4065,0.20574574,0.21682745,0.22822988
4080,0.2392906,0.25717792,0.2727624
4095,0.2019819,0.21538237,0.22498739
4110,0.20777407,0.2216415,0.23473184
4125,0.24107125,0.2598132,0.26993752
4140,0.21442421,0.2289341,0.24187906
4155,0.198958,0.21366219,0.2248976
4170,0.21895161,0.23514666,0.24453191
4185,0.22325289,0.23416731,0.2568656
4200,0.22294527,0.23917736,0.2508404
4215,0.23108083,0.24553576,0.26416323
4230,0.20475473,0.21928716,0.22972532
4245,0.21550356,0.22794124,0.24368834
4260,0.20081434,0.21408647,0.2267659
4275,0.2215056,0.2370506,0.25219202
4290,0.23005807,0.24641906,0.26384172
4305,0.20861833,0.22763625,0.23858646
4320,0.23270012,0.24384537,0.2641953
4335,0.2279818,0.2482066,0.2645524
4350,0.24009465,0.2582817,0.27114424
4365,0.23098694,0.24730824,0.26090404
4380,0.2065795,0.2229388,0.23498337
4395,0.24211325,0.2546402,0.2724774
4410,0.24397644,0.26493087,0.27650365
4425,0.23396477,0.24524643,0.2611735
4440,0.21609008,0.23761198,0.24755782
4455,0.215144,0.22814822,0.24414669
4470,0.24935915,0.27020815,0.2804328
4485,0.22429073,0.24174297,0.26081818
4500,0.20417932,0.22186697,0.23627073
4515,0.24360369,0.2611758,0.2802205
4530,0.23333427,0.2528927,0.26858076
4545,0.20050155,0.21826462,0.23574303
4560,0.23355153,0.2505121,0.27074414
4575,0.19068839,0.21380602,0.22115515
4590,0.19921422,0.21689798,0.2377121
4605,0.18982962,0.2183384,0.22202614
4620,0.2291785,0.24348022,0.26640877
4635,0.20440406,0.22538245,0.2343609
4650,0.23586969,0.25879017,0.274571
4665,0.21129337,0.23340636,0.24316725
4680,0.21325125,0.23323478,0.24316914
4695,0.19194874,0.21127725,0.22277784
4710,0.22616255,0.2511298,0.26302648
4725,0.22796431,0.24895847,0.26339605
4740,0.22634237,0.24903584,0.2645455
4755,0.23088917,0.25473398,0.26799917
4770,0.2064169,0.22461668,0.23563315
4785,0.24210133,0.2662556,0.2770541
4800,0.24620128,0.26796117,0.2858376
4815,0.22524235,0.24540105,0.2561085
4830,0.22178726,0.2443647,0.2586242
4845,0.216591,0.24123168,0.2564631
4860,0.24471125,0.2623414,0.27746794
4875,0.20630106,0.22769482,0.24121213
4890,0.2174888,0.23923299,0.25756404
4905,0.1989113,0.21667644,0.22642149
4920,0.19799756,0.22118303,0.23395875
4935,0.21829301,0.24095677,0.25371325
4950,0.22060218,0.2437982,0.26200756
4965,0.21205586,0.23701525,0.25145492
4980,0.21328647,0.23680626,0.25012293
4995,0.23587094,0.26565164,0.28347746
5010,0.18746252,0.20660853,0.22293814
5025,0.24169339,0.2672378,0.29106882
5040,0.20389149,0.22909509,0.24373761
5055,0.2162097,0.24091525,0.25716087
5070,0.22794883,0.25214353,0.2747154
5085,0.20237939,0.22677831,0.24568333
5100,0.22227965,0.24877992,0.26968122
5115,0.20635208,0.23260935,0.24890557
5130,0.20610687,0.23163976,0.24975345
5145,0.20532285,0.2322929,0.25025123
5160,0.21738747,0.24307558,0.2656278
5175,0.20876974,0.23745537,0.25466782
5190,0.22249858,0.2472146,0.27021047
5205,0.22314315,0.24871829,0.26812807
5220,0.22620416,0.25506064,0.27393815
5235,0.20963731,0.23021112,0.24728471
5250,0.2417188,0.2636253,0.29465595
5265,0.23716915,0.2628756,0.28413337
5280,0.21790223,0.24801849,0.2605507
5295,0.21088038,0.2409696,0.25916168
5310,0.22868863,0.2594529,0.2810366
5325,0.19389041,0.2222412,0.23837762
5340,0.23822755,0.27041498,0.2913575
5355,0.22633444,0.25530013,0.2731732
5370,0.21723844,0.24604873,0.26394525
5385,0.2326552,0.26158807,0.27498755
5400,0.19618641,0.22124799,0.2370748
5415,0.2246994,0.24954236,0.2657478
5430,0.2033916,0.23508584,0.24859455
5445,0.21335523,0.24150237,0.25942817
5460,0.20939635,0.23501234,0.25307995
5475,0.22225502,0.25144663,0.26628786
5490,0.21764924,0.24444371,0.26513946
5505,0.19079712,0.2209292,0.22655903
5520,0.20489764,0.23178561,0.25118375
5535,0.23649582,0.26583248,0.2818498
5550,0.22707632,0.26195326,0.28020126
5565,0.22096492,0.25248536,0.2656831
5580,0.21263215,0.23801453,0.25061318
5595,0.23556626,0.25702947,0.2766351
5610,0.2427451,0.269893,0.28736195
5625,0.2050369,0.2270438,0.24312733
5640,0.2157617,0.24285509,0.25510725
5655,0.24258743,0.26946998,0.28794262
5670,0.21934183,0.2543262,0.26500434
5685,0.23021023,0.25954026,0.28107145
5700,0.21861915,0.25422698,0.26832888
5715,0.22510177,0.25390327,0.2754076
5730,0.2140396,0.2515051,0.2616877
5745,0.21838656,0.24446869,0.26361609
5760,0.22964121,0.2636899,0.2758997
5775,0.18799144,0.20740089,0.22190227
5790,0.21258917,0.24494594,0.2553645
5805,0.23593271,0.26372653,0.28575176
5820,0.20342694,0.23320718,0.24817061
5835,0.19591907,0.22417021,0.24441244
5850,0.2202697,0.25148705,0.26898408
5865,0.21725856,0.23925476,0.2577725
5880,0.22190963,0.2513674,0.26704186
5895,0.21882708,0.23917721,0.25571975
5910,0.22679678,0.25205728,0.2743731
5925,0.22096884,0.2515294,0.26867676
5940,0.23750837,0.26973158,0.2927601
5955,0.21575326,0.24664617,0.26407197
5970,0.22472195,0.248085,0.26797286
5985,0.21438263,0.24113041,0.25706944
6000,0.24045187,0.26722616,0.292322
6015,0.22082974,0.24977103,0.26978388
6030,0.20540419,0.23175475,0.251075
6045,0.21721223,0.2541775,0.26899496
