training_steps,agent_0,agent_1,agent_2
2025,0.2195752,0.21530664,0.2254656
2040,0.20028974,0.19003613,0.20305726
2055,0.19871402,0.19652787,0.20687006
2070,0.23194876,0.22958317,0.23936096
2085,0.20827132,0.2051442,0.2160937
2100,0.21493106,0.20754105,0.21787548
2115,0.20200875,0.20141351,0.21318737
2130,0.20700282,0.20030758,0.20964172
2145,0.22509721,0.22352746,0.2333896
2160,0.22392154,0.22150369,0.23165326
2175,0.22163698,0.22210892,0.23072825
2190,0.26081157,0.25847542,0.2667433
2205,0.2268484,0.22250567,0.23667829
2220,0.21922818,0.21363355,0.2289534
2235,0.22398166,0.21833931,0.2314193
2250,0.21564364,0.21066625,0.2210116
2265,0.22809336,0.22469707,0.2354435
2280,0.19979244,0.18935832,0.20148857
2295,0.22701631,0.2240122,0.23647158
2310,0.23792781,0.23260728,0.24280845
2325,0.2383635,0.23122068,0.24337885
2340,0.22361118,0.21906796,0.22989923
2355,0.23067403,0.22442548,0.23203361
2370,0.22705275,0.2254006,0.23541366
2385,0.21698734,0.20936014,0.22097401
2400,0.21427186,0.21360733,0.22262867
2415,0.21266755,0.21248637,0.21685526
2430,0.20899831,0.20449963,0.21601123
2445,0.21627498,0.2127466,0.22184055
2460,0.21822692,0.21044442,0.21938401
2475,0.23728871,0.23135598,0.24564107
2490,0.21802093,0.21582751,0.22723283
2505,0.22255476,0.2252176,0.23551026
2520,0.25186872,0.24900295,0.25354093
2535,0.24354394,0.24207371,0.25555736
2550,0.2255223,0.22221684,0.23337261
2565,0.21475023,0.21151906,0.22215298
2580,0.21374169,0.21324325,0.22281435
2595,0.24388169,0.24377778,0.25312042
2610,0.21691959,0.2145316,0.22926314
2625,0.22266805,0.2198087,0.22979583
2640,0.20353407,0.1985481,0.21034111
2655,0.248454,0.24764538,0.2591035
2670,0.20987801,0.20958555,0.21882178
2685,0.20779216,0.20773084,0.21467113
2700,0.21094036,0.2095095,0.21889831
2715,0.22561914,0.22947504,0.23277281
2730,0.2179118,0.218867,0.22466941
2745,0.2412093,0.24548377,0.25404772
2760,0.23992835,0.2455989,0.25400123
2775,0.19824143,0.19914229,0.20644055
2790,0.2137076,0.21888213,0.22849157
2805,0.22239232,0.2295662,0.23590846
2820,0.22074793,0.22389223,0.2302009
2835,0.21406744,0.21914539,0.2271346
2850,0.21935047,0.223062,0.23169476
2865,0.22477873,0.23355937,0.24255481
2880,0.24764763,0.2535623,0.2680209
2895,0.22057125,0.22344448,0.23164564
2910,0.21384802,0.21637946,0.22895801
2925,0.21129741,0.21467009,0.22172092
2940,0.18916054,0.19094144,0.20111956
