time_steps,win_rate,episode_rewards
0,0.0,0.0
10268,0.65625,15.895547945205479
20106,0.71875,16.563356164383563
30602,0.71875,16.54280821917808
40561,0.78125,17.330479452054796
50541,0.75,16.93664383561644
60536,0.75,16.95719178082192
70498,0.6875,16.291095890410958
80294,0.78125,17.40582191780822
90530,0.78125,17.363013698630137
100543,0.8125,17.71917808219178
110602,0.96875,19.625
120556,0.8125,17.674657534246577
130539,0.84375,18.13527397260274
140505,0.875,18.44691780821918
150413,1.0,20.0
160265,0.90625,18.875
170138,0.9375,19.27054794520548
180677,0.90625,18.863013698630137
190483,1.0,20.0
200244,0.96875,19.625
