time_steps,win_rate,episode_rewards
0,0.0,1.316780821917808
10409,0.78125,17.35445205479452
20266,0.53125,14.220890410958905
30726,0.78125,17.292808219178085
40728,0.78125,17.309931506849317
50702,0.625,15.457191780821917
60111,0.84375,18.113013698630137
70095,0.875,18.51027397260274
80581,0.9375,19.23972602739726
90451,0.875,18.458904109589042
100281,0.875,18.458904109589042
110125,0.90625,18.88527397260274
120018,0.9375,19.26027397260274
130542,0.96875,19.63527397260274
140321,0.96875,19.625
150208,1.0,20.0
160116,0.875,18.5
170092,0.90625,18.88527397260274
180011,0.84375,18.14554794520548
190758,0.90625,18.875
200638,0.875,18.47945205479452
