time_steps,win_rate,episode_rewards
0,0.0,0.0
10390,0.78125,17.351027397260275
20695,0.625,15.510273972602738
30558,0.6875,16.239726027397257
40739,0.8125,17.636986301369866
50253,0.6875,16.22945205479452
60445,0.75,16.95890410958904
70339,0.65625,15.772260273972602
80521,0.8125,17.739726027397257
90687,0.875,18.5
100443,0.875,18.46917808219178
110266,0.875,18.5
120469,0.71875,16.553082191780824
130127,0.875,18.448630136986303
140502,0.90625,18.85445205479452
150119,0.90625,18.86472602739726
160351,0.9375,19.25
170536,0.90625,18.89554794520548
180690,0.875,18.445205479452056
190084,0.96875,19.561643835616437
200064,1.0,20.0
