time_steps,win_rate,episode_rewards
0,0.0,1.142123287671233
10004,0.84375,18.073630136986303
20394,0.84375,18.11472602739726
30437,0.875,18.488013698630134
40169,0.875,18.47945205479452
50056,0.75,16.958904109589042
60750,0.71875,16.633561643835616
70499,0.71875,16.57876712328767
80302,0.84375,18.00856164383562
90395,0.71875,16.549657534246574
100414,0.875,18.5
110416,0.8125,17.77054794520548
120232,0.9375,19.21917808219178
130038,0.875,18.448630136986303
140651,0.875,18.5
150490,0.9375,19.25
160387,0.78125,17.39554794520548
170327,0.71875,16.409246575342465
180313,0.8125,17.75
190171,0.90625,18.90582191780822
200082,0.96875,19.61472602739726
