time_steps,win_rate,episode_rewards
0,0.0,0.0
5026,0.6875,16.186643835616437
10434,0.65625,15.803082191780824
15539,0.625,15.426369863013699
20691,0.875,18.44691780821918
25161,0.6875,16.22945205479452
30499,0.78125,17.35445205479452
35110,0.71875,16.553082191780824
40445,0.84375,18.125
45041,0.5625,14.63527397260274
50536,0.71875,16.625
55188,0.71875,16.59417808219178
60604,0.71875,16.686643835616437
65126,0.75,16.979452054794518
70394,0.625,15.48972602739726
75641,0.8125,17.719178082191778
80215,0.8125,17.73972602739726
85585,0.8125,17.76027397260274
90130,0.875,18.489726027397257
95361,0.65625,15.895547945205479
100546,0.84375,18.10445205479452
105716,0.875,18.48972602739726
110069,0.4375,13.011986301369863
115230,0.6875,16.258561643835616
120373,0.8125,17.71746575342466
125733,0.6875,16.28082191780822
130257,0.96875,19.63527397260274
135514,0.90625,18.90582191780822
140703,0.96875,19.63527397260274
145080,0.96875,19.63527397260274
150130,0.9375,19.27054794520548
155173,0.96875,19.63527397260274
160103,1.0,20.0
165139,0.96875,19.625
170124,0.96875,19.625
175120,1.0,20.0
180163,1.0,20.0
185194,0.9375,19.26027397260274
190194,1.0,20.0
195230,0.96875,19.625
200240,0.90625,18.90582191780822
205220,0.96875,19.63527397260274
210227,0.90625,18.90582191780822
215237,0.9375,19.27054794520548
220295,0.96875,19.63527397260274
225282,1.0,20.0
230252,0.96875,19.63527397260274
235275,0.96875,19.63527397260274
240261,1.0,20.0
245238,0.96875,19.63527397260274
250212,0.96875,19.625
255233,0.9375,19.27054794520548
260238,1.0,20.0
265245,0.96875,19.63527397260274
270274,0.96875,19.613013698630137
275317,0.96875,19.63527397260274
280293,0.9375,19.27054794520548
285276,1.0,20.0
290301,1.0,20.0
295270,0.96875,19.63527397260274
300276,1.0,20.0
