time_steps,win_rate,episode_rewards
0,0.0,0.0
5911,0.0,0.0
10668,0.78125,17.35445205479452
15300,0.8125,17.60445205479452
20313,0.90625,18.85445205479452
25442,0.8125,17.72945205479452
30626,0.78125,17.35445205479452
35168,0.59375,14.977739726027401
40559,0.6875,16.147260273972602
45165,0.71875,16.696917808219176
50698,0.875,18.46917808219178
55394,0.6875,16.21917808219178
60753,0.875,18.458904109589042
65407,0.6875,16.152397260273972
70093,0.71875,16.429794520547944
75412,0.8125,17.678082191780824
80046,0.875,18.46746575342466
85378,0.59375,14.919520547945204
90731,0.875,18.5
95436,0.8125,17.77054794520548
100024,0.65625,15.729452054794521
105527,0.875,18.51027397260274
110171,0.71875,16.61472602739726
115605,0.71875,16.59417808219178
120298,0.84375,18.11472602739726
125003,0.78125,17.34417808219178
130431,0.75,16.91780821917808
135087,0.78125,17.32191780821918
140543,0.78125,17.352739726027398
145220,0.84375,18.09417808219178
150603,0.90625,18.875
155250,0.84375,18.125
160707,0.875,18.5
165400,0.875,18.46917808219178
170047,0.9375,19.26027397260274
175476,0.875,18.448630136986303
180065,0.8125,17.696917808219176
185476,0.84375,18.073630136986303
190060,0.84375,17.934931506849317
195423,0.8125,17.736301369863014
200663,0.875,18.39041095890411
205225,0.8125,17.696917808219176
210481,0.84375,18.034246575342465
215737,0.875,18.44691780821918
220226,0.75,16.72945205479452
225482,0.9375,19.22945205479452
230093,0.8125,17.621575342465754
235449,0.71875,16.580479452054796
240701,0.90625,18.86472602739726
245191,0.875,18.51027397260274
250451,0.9375,19.22945205479452
255653,0.8125,17.652397260273972
260180,0.875,18.5
265367,0.65625,15.720890410958905
270656,0.84375,18.102739726027398
275116,0.84375,18.041095890410958
280376,0.75,16.83732876712329
285603,0.8125,17.6541095890411
290033,0.90625,18.842465753424655
295275,0.8125,17.68321917808219
300501,0.9375,19.21746575342466
