training_steps,loss
1515,-0.9471996943155925
1530,-0.4123449961344401
1545,-1.0114356517791747
1560,-0.33020352721214297
1575,-0.40252941449483237
1590,-0.4428061346213023
1605,-0.3836430231730143
1620,-0.40622018575668334
1635,-0.346654482682546
1650,-0.47969946066538494
1665,-0.41263421972592673
1680,-0.3831387976805369
1695,-0.3466845075289408
1710,-0.44971658984820045
1725,-0.48797421058019
1740,-0.35561478734016416
1755,-0.3716018776098887
1770,-0.40342087546984357
1785,-0.3402102947235107
1800,-0.3856743474801381
1815,-0.4205629845460256
1830,-0.5377844174702963
1845,-0.4398731509844462
1860,-0.46242180665334065
1875,-0.4386808435122172
1890,-0.4095701932907104
1905,-0.41762874523798627
1920,-0.5164155642191569
1935,-0.4459630846977234
1950,-0.3614511768023173
1965,-0.4814679185549418
1980,-0.3624100704987844
1995,-0.36383978128433225
2010,-0.4180055260658264
2025,-0.3882462481657664
2040,-0.5021829644838969
2055,-0.3849089860916138
2070,-0.3883652607599894
2085,-0.514488164583842
2100,-0.4043569068113963
2115,-0.5120879729588826
2130,-0.3265320261319478
2145,-0.36033623417218524
2160,-0.4068461139996847
2175,-0.4090326130390167
2190,-0.3408880571524302
2205,-0.41942487756411234
2220,-0.41325888633728025
2235,-0.4049324194590251
2250,-0.44338224331537884
2265,-0.3814131677150726
2280,-0.3534386237462362
2295,-0.425195840994517
2310,-0.45288673440615335
2325,-0.40423406958580016
2340,-0.42445862491925557
2355,-0.3788155476252238
2370,-0.42150522470474244
2385,-0.4105640669663747
2400,-0.37838632067044575
2415,-0.4499934673309326
2430,-0.3187059283256531
2445,-0.40600770314534507
2460,-0.38080177307128904
2475,-0.4603941281636556
2490,-0.4208055198192596
2505,-0.4619075258572896
2520,-0.4630667050679525
2535,-0.474112735191981
2550,-0.4340123494466146
2565,-0.4257875641187032
2580,-0.41952093243598937
2595,-0.25907038648923236
2610,-0.3857489426930745
2625,-0.34642974138259885
2640,-0.42251728971799213
2655,-0.48848001956939696
2670,-0.39971248706181844
2685,-0.3816067675749461
2700,-0.4665837546189626
2715,-0.3632044315338135
2730,-0.3669674515724182
2745,-0.5031860073407491
2760,-0.38191023270289104
2775,-0.3759093940258026
2790,-0.31653454502423606
2805,-0.3637693484624227
2820,-0.34315861264864606
2835,-0.37902142604192096
2850,-0.3531609495480855
2865,-0.3261180857817332
2880,-0.32225178678830463
2895,-0.5059508363405864
2910,-0.3215763250986735
2925,-0.48279229203859964
2940,-0.4536049882570902
2955,-0.47193394700686137
2970,-0.4473644951979319
2985,-0.4053419331709544
3000,-0.45454518993695575
3015,-0.3314084053039551
3030,-0.44244723121325175
3045,-0.36271235545476277
3060,-0.384644470612208
3075,-0.39301371773084004
3090,-0.4899066964785258
3105,-0.4176719506581624
3120,-0.3925439695517222
3135,-0.4616071045398712
3150,-0.3030197481314341
3165,-0.45047457218170167
3180,-0.38349890112876894
3195,-0.31567501425743105
3210,-0.27690522869427997
3225,-0.3727793018023173
3240,-0.4412058929602305
3255,-0.29361900091171267
3270,-1.035200309753418
3285,-0.4733505109945933
3300,-0.4007076144218445
3315,-0.480069492260615
3330,-0.5257787863413493
3345,-0.4783692677815755
3360,-0.5194330970446269
3375,-0.47576682368914286
3390,-0.39656542738278705
3405,-0.3564105451107025
3420,-0.4696436365445455
3435,-0.3450424532095591
3450,-0.41733197768529257
3465,-0.5024193445841472
3480,-0.5744164705276489
3495,-0.4139401356379191
3510,-0.3797722617785136
3525,-0.3898457884788513
3540,-0.45406023661295575
3555,-0.4929971794287364
3570,-0.47969967921574913
3585,-0.4729715685049693
3600,-0.5097711086273193
3615,-0.4901138663291931
3630,-0.5873270352681478
3645,-0.5256697416305542
3660,-0.47761202851931256
3675,-0.49167091051737466
3690,-0.46344292362531025
3705,-0.3733362634976705
3720,-0.40634137789408364
3735,-0.3797179063161214
3750,-0.3950352946917216
3765,-0.5447857141494751
3780,-0.5820939302444458
3795,-0.555309784412384
3810,-0.5606255133946737
3825,-0.5403687437375386
3840,-0.39909294843673704
3855,-0.5197059750556946
3870,-0.5282578110694885
3885,-0.5086902101834615
3900,-0.5361498475074769
3915,-1.185366702079773
3930,-0.3934420347213745
3945,-0.3740263104438782
3960,-0.5640754938125611
3975,-0.41067474683125815
3990,-0.6435370047887167
4005,-0.3989052931467692
4020,-0.4777326265970866
4035,-0.6070033629735311
4050,-0.49914626677831014
4065,-0.30505836606025694
4080,-0.45631887118021647
4095,-0.3729409217834473
4110,-0.5175869544347127
