training_steps,loss
0,-0.5947554548581441
15,-0.7289579550425211
30,-0.03885527153809865
45,0.181148499250412
60,2.761989466349284
75,0.007513809204101563
90,2.4052324930826825
105,6.9630255699157715
120,8.782365862528483
135,2.1331117471059162
150,10.334530194600424
165,4.812862459818522
180,2.0503307978312173
195,2.985015058517456
210,5.6582365989685055
225,1.4607142607371013
240,13.398024876912435
255,8.879491996765136
270,9.86371103922526
285,10.482637468973795
300,10.53315258026123
315,10.892167790730793
330,8.565682188669841
345,3.061433434486389
360,0.24353851675987243
375,6.578592109680176
390,8.50116418202718
405,7.885719553629557
420,6.688830121358236
435,11.663726806640625
450,8.242145125071207
465,10.638670412699382
480,10.193635368347168
495,9.56931889851888
510,10.071407381693522
525,9.464203770955404
540,8.428401851654053
555,6.208148988087972
570,8.645370515187581
585,11.134169514973959
600,10.419886207580566
615,8.533348941802979
630,10.84203618367513
645,9.031766001383463
660,10.967602284749349
675,7.652378400166829
690,10.04915345509847
705,9.657865842183432
720,8.72130978902181
735,10.40107701619466
750,8.249113178253173
765,8.155903498331705
780,9.159645144144694
795,8.874000803629558
810,8.241423829396565
825,8.478653526306152
840,7.148207187652588
855,7.420149167378743
870,7.35888442993164
885,9.887828127543132
900,8.869541867574055
915,8.583753140767415
930,7.380754343668619
945,9.715692965189616
960,8.434082476298014
975,9.144139862060547
990,8.522254117329915
1005,8.595952065785726
1020,6.6707712809244795
1035,8.178950595855714
1050,8.689531294504802
1065,8.968923759460449
1080,7.9086792945861815
1095,7.504005686442057
1110,6.854242070515951
1125,7.910333156585693
1140,6.374079418182373
1155,6.949240779876709
1170,7.675607554117838
1185,7.345321305592855
1200,8.539463647206624
1215,6.856730111440023
1230,6.890927982330322
1245,8.386497211456298
1260,9.189964167277019
1275,9.465763282775878
1290,12.863060251871746
1305,9.851498889923096
1320,8.170423730214436
1335,8.035850270589192
1350,6.744876480102539
1365,8.675656000773111
1380,7.278787199656168
1395,6.90784215927124
1410,8.134709612528484
1425,5.790306154886881
1440,7.982679557800293
1455,7.477076021830241
1470,8.629679584503174
1485,7.982503763834635
1500,7.306239477793375
1515,6.335603745778402
1530,9.371619923909504
1545,6.810827986399333
1560,8.206100114186604
1575,8.92148822148641
1590,7.186366049448649
1605,9.424762852986653
1620,7.5262478192647295
1635,7.072231960296631
1650,7.311185963948568
1665,8.967556699117024
1680,7.820013809204101
1695,8.602122497558593
1710,9.07218017578125
1725,8.625672658284506
1740,8.114585494995117
1755,9.519964027404786
1770,9.057849884033203
1785,10.312637201944987
1800,11.31604143778483
1815,10.48129514058431
1830,7.942371400197347
1845,8.218314202626546
1860,7.536988099416097
1875,7.50550864537557
1890,7.186015828450521
1905,7.860322507222493
1920,6.539019552866618
1935,9.597853215535482
1950,9.951871299743653
1965,9.14100907643636
1980,8.957637850443522
1995,6.40553248723348
2010,5.365891838073731
2025,6.006773376464844
2040,9.013788159688314
2055,5.841305224100749
2070,6.947960217793782
2085,8.749878756205241
2100,7.998377927144369
2115,5.952623804410298
2130,-0.3376524329185486
2145,-0.5516911486784617
2160,28.506454594930013
2175,10.915600268046061
2190,9.031489435831705
2205,8.701369412740071
2220,8.159414196014405
2235,7.328696250915527
2250,7.945590813954671
2265,7.715693251291911
2280,6.65356985727946
2295,7.3358409881591795
2310,7.001309108734131
2325,6.966692161560059
2340,7.916074816385905
2355,8.751545556386311
2370,8.787173906962076
2385,7.078065172831217
2400,13.571443367004395
2415,8.810435644785564
2430,9.328253491719563
2445,6.826964282989502
2460,7.123184935251872
2475,5.458282057444254
2490,7.376764138539632
2505,6.618765226999918
2520,5.963559246063232
2535,6.286882177988688
2550,8.771703465779622
2565,7.028246307373047
2580,7.418634700775146
2595,6.979017321268717
2610,8.484456539154053
2625,6.111914285024008
2640,5.510104846954346
2655,5.033480548858643
2670,10.255083465576172
2685,9.255157534281413
2700,7.637588024139404
2715,7.366306241353353
2730,7.651396719614665
2745,7.871966075897217
2760,6.525117556254069
2775,5.934465916951497
2790,7.25404167175293
2805,6.581199963887532
2820,8.6106582959493
2835,6.913153139750163
2850,7.622550551096598
2865,8.059419536590577
2880,7.226483599344889
2895,7.324713389078776
2910,6.603376992543539
2925,7.009073034922282
2940,6.542102273305257
2955,7.19687868754069
2970,6.857859039306641
2985,10.514717928568523
3000,5.2963077863057455
3015,8.084181435902913
3030,10.91206652323405
3045,11.087787183125814
3060,9.134775861104329
3075,6.260481293996175
3090,8.159385426839192
3105,5.326060263315837
3120,6.62911418279012
3135,6.182698027292887
3150,9.978910891215007
3165,7.250104713439941
3180,5.935372098286947
3195,5.99217472076416
3210,13.505212656656902
3225,-0.09803820649782817
3240,-0.510698397954305
3255,-0.6083766142527263
3270,-0.5182568550109863
3285,-0.5140944600105286
3300,-0.4780479828516642
3315,34.278077061971025
3330,15.878490002950032
3345,10.479686164855957
3360,8.422045421600341
3375,9.056261889139812
3390,8.81255744298299
3405,7.06672789255778
3420,7.025596872965495
3435,7.860344123840332
3450,8.390903027852376
3465,7.756457742055257
3480,6.225503094991049
3495,11.711697324117024
3510,9.857883898417155
3525,7.915795866648356
3540,7.470395914713541
3555,6.313766352335612
3570,5.629621092478434
3585,5.912886047363282
3600,5.129036776224772
3615,4.451409339904785
3630,7.270049031575521
3645,6.411935456593832
3660,5.463281313578288
3675,6.359324296315511
3690,5.671178086598714
3705,5.235939788818359
3720,5.841935316721599
3735,6.25335324605306
3750,5.538231722513834
3765,8.043273099263509
3780,6.993543338775635
3795,7.409676361083984
3810,8.180109437306722
3825,7.31023546854655
3840,7.0398086865743
3855,6.9349427541097
3870,6.710092862447103
3885,7.134418964385986
