time_steps,win_rate,episode_rewards
0,0.0,0.0
10615,0.8125,17.708904109589042
20089,0.59375,15.042808219178081
30432,0.46875,13.570205479452056
40032,0.65625,15.741438356164386
50660,0.6875,16.21917808219178
60732,0.84375,18.102739726027398
70751,0.71875,16.59417808219178
80172,0.84375,17.977739726027398
90609,0.875,18.53082191780822
100748,0.84375,18.082191780821915
110651,0.6875,16.215753424657535
120073,0.6875,16.22945205479452
130134,0.6875,16.154109589041095
140193,0.5625,14.667808219178083
150114,0.78125,17.375
160002,0.6875,16.248287671232873
170747,0.84375,18.166095890410958
180521,0.84375,18.083904109589042
190686,0.6875,16.23972602739726
200072,0.9375,19.23972602739726
